,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0
,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
28,2023-01-14,12:30,Premier League,Matchweek 20,Sat,Away,L,1,2,Manchester Utd,6.0,1,1.0,4.0,1.0,1.0,10.0,10.0,9.0,11.0,4.0,7.0,4,10,5.0,0.0,Match Report
29,2023-01-19,20:00,Premier League,Matchweek 7,Thu,Home,W,4,2,Tottenham,15.0,11,7.0,7.0,1.0,5.0,9.0,55.6,4.0,12.0,2.0,10.0,8,23,13.0,1.0,Match Report
30,2023-01-22,14:00,Premier League,Matchweek 21,Sun,Home,W,3,0,Wolves,8.0,5,3.0,1.0,4.0,6.0,11.0,54.5,5.0,13.0,4.0,9.0,6,14,18.0,0.0,Match Report
31,2023-01-27,20:00,FA Cup,Fourth round proper,Fri,Home,W,1,0,Arsenal,,14,,,,,,,,,,,10,0,,,Match Report
32,2023-02-05,16:30,Premier League,Matchweek 22,Sun,Away,L,0,1,Tottenham,19.0,9,8.0,7.0,4.0,9.0,15.0,60.0,6.0,11.0,4.0,7.0,7,26,12.0,1.0,Match Report
33,2023-02-12,16:30,Premier League,Matchweek 23,Sun,Home,W,3,1,Aston Villa,7.0,3,3.0,3.0,1.0,4.0,13.0,30.8,9.0,7.0,2.0,5.0,3,10,3.0,0.0,Match Report
34,2023-02-15,19:30,Premier League,Matchweek 12,Wed,Away,W,3,1,Arsenal,17.0,12,7.0,9.0,1.0,7.0,13.0,53.8,6.0,12.0,5.0,7.0,11,28,14.0,0.0,Match Report
35,2023-02-18,15:00,Premier League,Matchweek 24,Sat,Away,D,1,1,Nott'ham Forest,10.0,7,3.0,5.0,2.0,2.0,6.0,33.3,4.0,7.0,1.0,6.0,2,12,5.0,0.0,Match Report
36,2023-02-22,21:00,Champions Lg,Round of 16,Wed,Away,D,1,1,de RB Leipzig,13.0,6,5.0,6.0,2.0,4.0,14.0,28.6,10.0,5.0,1.0,4.0,5,18,9.0,0.0,Match Report
37,2023-02-25,17:30,Premier League,Matchweek 25,Sat,Away,W,4,1,Bournemouth,26.0,17,14.0,10.0,2.0,11.0,23.0,47.8,12.0,14.0,5.0,9.0,6,32,16.0,0.0,Match Report
38,2023-02-28,20:00,FA Cup,Fifth round proper,Tue,Away,W,3,0,Bristol City,,9,,,,,,,,,,,10,0,,,Match Report
39,2023-03-04,12:30,Premier League,Matchweek 26,Sat,Home,W,2,0,Newcastle Utd,13.0,6,2.0,5.0,6.0,4.0,16.0,25.0,12.0,5.0,2.0,3.0,4,17,24.0,0.0,Match Report
40,2023-03-11,17:30,Premier League,Matchweek 27,Sat,Away,W,1,0,Crystal Palace,14.0,7,7.0,3.0,4.0,5.0,12.0,41.7,7.0,10.0,4.0,6.0,9,23,12.0,0.0,Match Report
